,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,StackedEnsemble_AllModels_AutoML_20190418_161716,0.8511172033063757,0.15814023691579288,0.3400306832585595,0.2017282131968683,0.04069427199960115
1,StackedEnsemble_BestOfFamily_AutoML_20190418_161716,0.8501717449012864,0.15840581153593092,0.3379662388875768,0.2018231174922392,0.040732570754286185
2,GBM_grid_1_AutoML_20190418_161716_model_2,0.8475025964674928,0.15829078706879612,0.33330132286996433,0.2030959165147508,0.041247951304966606
3,DRF_1_AutoML_20190418_161716,0.8468920355827035,0.1806675357647841,0.3355248491125566,0.20143084844651596,0.040574386705883266
4,GBM_4_AutoML_20190418_161716,0.8449482110089676,0.15919411889856924,0.3808744692831373,0.20302702833456868,0.04121997423436575
5,GBM_grid_1_AutoML_20190418_161716_model_9,0.8445803752682698,0.17431542983031448,0.3732175026975532,0.21392860755301168,0.045765449129570486
6,XRT_1_AutoML_20190418_161716,0.8442947314010214,0.17899173004987834,0.3732028691802485,0.2020010900969072,0.040804440400338815
7,GBM_3_AutoML_20190418_161716,0.8384446712345552,0.1622480238670448,0.3997679452000902,0.20482179661280425,0.04195196836769695
8,GBM_5_AutoML_20190418_161716,0.8355984948069968,0.16546463199099642,0.4028012667264347,0.20765852334677734,0.04312206231856407
9,GBM_grid_1_AutoML_20190418_161716_model_8,0.8340546501937088,0.1655001371961755,0.4027437998623869,0.2079906194570172,0.04326009778211373
10,GBM_1_AutoML_20190418_161716,0.8333620425753734,0.165343520177059,0.379716995629957,0.2074527462050951,0.0430366419080356
11,GBM_2_AutoML_20190418_161716,0.8333198154011674,0.1653669754519701,0.4105185773612076,0.2072603633118112,0.042956858200143964
12,GBM_grid_1_AutoML_20190418_161716_model_5,0.8277929988745341,0.18606456479167405,0.4515449579217223,0.22016757051687,0.04847375910730091
13,GBM_grid_1_AutoML_20190418_161716_model_4,0.8265431906299591,0.17883300980937342,0.4250961304267469,0.2160884712744344,0.04669422741772206
14,GBM_grid_1_AutoML_20190418_161716_model_1,0.8141376562166392,0.19994791480633445,0.4090149877269698,0.2167388454629375,0.0469757271326071
15,GBM_grid_1_AutoML_20190418_161716_model_6,0.764841912592857,0.2575376132967256,0.5,0.2324133080590461,0.05401594576294907
16,GBM_grid_1_AutoML_20190418_161716_model_7,0.7383881247282469,0.22990132406054786,0.5,0.2296781314535561,0.052752044067997
17,GBM_grid_1_AutoML_20190418_161716_model_3,0.7343530049014259,0.20099033182512527,0.4915287985571522,0.2268128926082449,0.051444088253319226
18,GBM_grid_1_AutoML_20190418_161716_model_10,0.6884089941388067,0.21653035453199715,0.4938523774189358,0.2322952098440562,0.0539610645164941
19,DeepLearning_grid_1_AutoML_20190418_161716_model_1,0.5953799936835114,0.21953135995521447,0.4978914074855034,0.23270453527665985,0.05415140073832623
20,DeepLearning_grid_1_AutoML_20190418_161716_model_3,0.5743146784048079,0.22091094835911368,0.5,0.2331723923152945,0.0543693645380376
21,DeepLearning_grid_1_AutoML_20190418_161716_model_2,0.5615735036963889,0.23022254280135035,0.5,0.23383204841219374,0.054677426864642525
22,DeepLearning_1_AutoML_20190418_161716,0.5495724741934421,0.22552738661753424,0.5,0.2342620500664341,0.05487870810132848
23,GLM_grid_1_AutoML_20190418_161716_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
24,DeepLearning_grid_1_AutoML_20190418_161716_model_4,0.5166429878029206,0.2480179137219155,0.5,0.23598947898404005,0.055691034191158666
