,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,StackedEnsemble_BestOfFamily_AutoML_20190415_235801,0.8615520878767815,0.1562618752179024,0.3354483091576927,0.20060808941576525,0.04024360553904367
1,StackedEnsemble_AllModels_AutoML_20190415_235801,0.8604475646753654,0.1563267728579025,0.3296938278863409,0.20063275320875104,0.0402535016601236
2,GBM_grid_1_AutoML_20190415_235801_model_1,0.8604019907457432,0.1702646961956454,0.3361123412903696,0.21230004224146,0.04507130793572568
3,XRT_1_AutoML_20190415_235801,0.8483088998559256,0.17000139560330385,0.3606396103802966,0.20231021058494889,0.04092942130692637
4,DRF_1_AutoML_20190415_235801,0.8472158427068668,0.1769329458087838,0.3509801058612889,0.20153230010125292,0.040615267984101484
5,GBM_4_AutoML_20190415_235801,0.8430340632766266,0.1599917238895551,0.3832996631524824,0.2034261547541555,0.04138220043806163
6,GBM_3_AutoML_20190415_235801,0.8399730200287603,0.16311728668476255,0.390055413390546,0.20601699931534467,0.04244300400689873
7,GBM_5_AutoML_20190415_235801,0.8365603967093608,0.16469543116691845,0.4109809418671316,0.20696125886691566,0.04283296267177847
8,GBM_2_AutoML_20190415_235801,0.8346212166125289,0.16573913412102553,0.4209364122618015,0.20779082708278995,0.0431770278197499
9,GBM_1_AutoML_20190415_235801,0.8254903713846675,0.16983255917675985,0.4249459277021601,0.21039739011131686,0.044267061765653634
10,GBM_grid_1_AutoML_20190415_235801_model_2,0.6854189328412738,0.21985191849560184,0.4814231254378956,0.23322676240769896,0.05439472270317728
11,DeepLearning_1_AutoML_20190415_235801,0.5670640010966429,0.22309308702633115,0.5,0.2337440451573176,0.05463627864650614
12,GLM_grid_1_AutoML_20190415_235801_model_1,0.5225910515546498,0.22097924308847253,0.5,0.2335166566542058,0.05453002893495823
13,GBM_grid_1_AutoML_20190415_235801_model_3,0.5218198549475223,0.2211459145877924,0.5,0.23354097224368156,0.054541385716524025
14,DeepLearning_grid_1_AutoML_20190415_235801_model_2,0.5079283013658997,0.2372293725041623,0.5,0.23623530979440854,0.055807121593660185
15,DeepLearning_grid_1_AutoML_20190415_235801_model_1,0.5047348478380574,0.2375621964551197,0.5,0.2350917425335733,0.05526812740747193
